review,sentiment
"Excellent special effects make this disaster move very plausible. One can see that the producers went to some trouble to get the displays on the computer screens just right - it all makes it very convincing. The sets are also very authentic looking. A good choice of music rounds off the film nicely.<br /><br />Acting is good and the presence of David Suchet adds some weight to the cast of course. Compared to other movies of this genre, Flood is right up there with the best of them. Thankfully, the ""human drama"" aspect has not been overdone, as is often the case with this type of movie. The human suffering is portrayed in perfect balance with the actual flooding scenes.<br /><br />And of course, the movie confirms what many of us suspect anyway: weather forecasters so often do not get it right! :)",positive
"One of the funniest films I ever saw in the theater back in the early '70s, and sadly, it's only been on TV a few times since. This movie should be released on video. It's Sellers at his sleaziest, slimiest best as a crooked hospital administrator. Great cast, great movie. If anyone has a good VHS copy, I'd love to buy it.",positive
"I waited for this movie to come out for a while in Canada, and when it finally did, I was very excited to see it. I really enjoyed it. Of course, in the beginning, it is a very sad movie (and it was New Years Day - making it even sadder) - however, it sticks with you. The next day I was thinking about it again, because although it revolves around something so emotionally draining, you realize after a few days that it is such a beautiful story. How one person can be seen as the link to so many people, but sometimes you can be blinded so many things. And how Diane Keaton's character kind of saves the rest of them by just being there. And how they save her in the process as well. It was such an excellent movie, and Chris Pine (one of my favourite actors) provides the perfect comic relief. It is definitely a movie that will need a box of tissues, but will really stay with you for a long time.",positive
"This unassuming, fairly routine series deserves credit in the TV history books for two reasons: it was the first to win an Emmy award for best syndicated series, and it was the very first show to come from the fabled studios of Republic Pictures, known for its low-budget but high-powered shoot-em-ups in the 30's and 40's.<br /><br />Republic was one of the first Hollywood studios to make a leap into the small screen, which was still in its infancy. But the studios' tenure as producer of TV pulp fiction would be brief. After this show, they would later dabble with the other format that they were known for, the adventure serial, with ""Commando Cody"", as well as other series, but like this one, they didn't last longer than 39 episodes. Also, Republic was in its last stages as a studio; it would finish out its tenure in Hollywood as rental stages for several Revue Studio series such as ""Soldiers of Fortune"", the original ""Dragnet"", and ""Kit Carson"", before finally shutting its doors in 1959.<br /><br />Anyway, ""Stories of the Century"" wasn't that bad of an oater, its calling card was tales based on authentic figures in Western history, mainly outlaws like Black Bart, Johnny Ringo, John Wesley Hardin, The Dalton Bros. and the like. The late Jim Davis, best known for his role as the Ewing patriarch in ""Dallas"", put in an amiable job in the lead role as Matt Clark, a fictional railroad detective who has to contend with said outlaws, played by veteran and soon-to-be veteran character actors.<br /><br />Two amazing facts here: The incidents would take place in different time lines, some in the 1880's, some at the turn of the century, but Clark never ages. And also, Matt has the good luck to saddle himself with two lovely female detectives as sidekicks, Frankie Adams, played by Mary Castle, and her replacement, Margaret ""Jonesy"" Jones, by Kristine Miller. The Lone Ranger could only wish for lady companionship. You can only spend such time with Tonto for so long.<br /><br />""Stories Of The Century"" is a Studio City TV production from Republic Pictures Corp. 39 episodes were made during 1954, all 39 of which are in public domain and on DVD.",positive
"Idiotic hack crooks, a babe, a safe, a plan and a baby. Add them all up and you get the best comedy you've never heard of. <br /><br />Even with some a-list star power (at least a-minus...okay, b-plus?) this movie got very little publicity.<br /><br />But that does not diminish its genius.<br /><br />Terrific writing, solid delivery and a believable group of characters. Some truly classic lines, and a fun twist at the end.<br /><br />This is not some watered-down ""Nutty Professor"" comedy. These are low-life bad guys. They speak low-life bad guy language and they do low-life bad guy things. But they do it for your amusement and entertainment, and they do that well.<br /><br />One of the best comedies I've ever seen.",positive
"I was brought up on Doc Savage,and was petrified by the green death as a child but even then as now, I found it thoroughly entertaining.I have made countless friends and colleagues watch this film and have been most amused by the diversity of reactions,granted they mostly think I'm odd but there you are. ""I don't know what it is about the Doc, but he always gets the girls"" has to be the ultimate line when you look at his sad band of men. This film is a classic spoof on all the super hero genre,and was way before it's time,it is not to be taken seriously, move over Austin Powers. Ron Ely is a God.It is unfortunate that this film hasn't been released on DVD in the UK. I don't think it should be remade and bastardised, like I said it's a classic,it cannot be done without Ron.(like the Italian job without Mini's and Michael Caine). I give it 10/10.",positive
"Before I comment about this movie, you should realize that when I saw this movie, I expected the typical crap, horror, B-movie and just wanted to have fun. Jack Frost is one that not only delivers but is actually one of the best that I've seen in a long time. Scott McDonald is great as Jack Frost, in fact I think he has a future in being psychopaths in big time movies if ever given the chance. McDonald is a serial killer who becomes a snowman through some stupid accidental mix of ridiculous elements. As soon as that snowman starts moving around and killing people, though, you will find it hard not to laugh. The lines that are said are completely retarded but really funny. The fact that the rest of the cast completely over-acts just adds to stupidity of the film, but it's stupidity is it's genius. The scene where the snowman is with the teenage girl is truly classic in B-movie, horror film fashion. I truly hope there is a sequel and I'll be right there to watch it on whatever cable channel does it. Of course it's only fun to watch the first few times and it's not exactly a good work of motion picture technology, but I just like to see snowmen kill people. I gave it a 7 out of 10, this is a great movie for dates and couples in the late hours.",positive
"I just saw The Big Trail in Vienna's Filmmuseum for the first time. Immediately I was astonished by both the pictures optical high quality and unusual format and by its beautifully detailed story. Who has ever seen such a documentary style western with John Wayne? And there is so much time, you can actually look around on the screen, there is so much to see! One is ever grateful that the scenes are often static, because every single shot is so well composed and you want to take it it. Even the acting is good and fits in well. The long running time of the picture is wonderful, you don't want to miss a minute of it!",positive
"Maybe not the most original way of telling a story, we've seen all this before in many movies.. but.. I liked it October Sky alot anyways. It got something, Great directing and good acting by all parts, especially Laura Dern(the teacher) and Chris Cooper(the father). I wanna be a rocket-engineer!:)",positive
"Anne (Natalie Portman) tells us about how much she hates her mother, Adele (Susane Sarandon). That's how the movie begins. Adele decided that her and her daughter were moving to California without asking anyone and leaving her husband without any reason. The story is about the relationship between the mother and the daughter. It's really deep and touching, thanks to the great work of the actresses. Natalie was nominated to a Golden Globe for that role. She is one of the most talented actresses I ever saw, and so is Sarandon. They really look like mother daughter. The soundtrack is also great. The movie is incredible. *10 out of 10*",positive
