,review,sentiment
7139,"This film is an almost complete waste of time. I am studying the book for my English A level, and the film only contributes in one way, and that's getting across that the whole scenario is set in a rural idyll. The acting is wooden, the filmography is laughable, and the so called dramatic scenes in the film had the majority of my class (including me) snickering into their texts. The book, although not my favourite literary choice, is miles better than the film is, and the sound track is just plain irritating. Don't watch this film unless you are looking for a timeless, quality storyline transformed into mindless, media waste.",negative
7120,"Jude Law, Nicole Kidman, and Renne Zelwigger. They are all horrible. Especially the star, Jude Law. <br /><br />It's directed by the same guy who did the english patient and its based on a best selling novel of a man risking all to get back to his lover but unlike the wonderful English pateint, this movie sucks. It is really bad.<br /><br />Worst dialogue ever. ""But we've only know each other for a moment"" ""But they were a thousand moments, like diamonds in a bag""<br /><br />or <br /><br />""In some cultures you just have to say I marry you 3 times and you're married"" lovey-dovey-""I marry you, I marry you, I marry you, I marry you...""<br /><br />I'm ashamed I sat through it all. <br /><br />the whole movie was awful, horrible....Ughh no words, I'm sick.<br /><br />1/10 (the one is for the really loud bullet sounds, the sound crew did a good job)",negative
28465,"What is the deal with all these ethnic crime groups copying Italian mafia related movies ? We all know the Godfather as in Don Vito Corleone, now we have this Mexican one which is just a strait out Copy. I cant see why other ethnic groups have to Mimic and imitate Italian mobsters, but it sure makes them look silly. They sure seem to be wanabee Italians. I would much prefer to see Mexicans perform there own ideas and like to see there own culture, and the way they do it, instead of copying ideas from The Godfather trilogy. Apart from that the movie was disappointing, seeing mexicans acting and trying to be Italians is not my thing. After watching this, I'm now going to Watch the ""Real"" Godfather so this movie can be erased from my memory.",negative
30829,"IS there any reason to revive characters 10 years after the fact when the only reason they worked the first time was due to the actors playing them.<br /><br />Who can replace Jim Carrey or Cameron Diaz -- or better yet, who can replace them at cut-rate prices since most studios know that sequels don't bring in the same amount of revenue as the originals so they cut corners from the get-go.<br /><br />Where are the good movies going to play if powerful Hollywood studios can clog up 3,000 theaters opening weekend with whatever turds they feel like the general public can be suckered into.<br /><br />Enough's enough people, this sequel-itis has got to stop and the Hollywood people need to start getting their act together or start distributing the much-better foreign product that's floating in limbo.<br /><br />Wake up Hollywood, cause the people HAVE woken up and they aren't buying it just cause it's new and shiny. Give us the good stuff and send the rest to the DVD shelves, cause we are taking back the theaters once and for all!!!",negative
7031,Iberia is nice to see on TV. But why see this in silver screen? Lot of dance and music. If you like classical music or modern dance this could be your date movie. But otherwise one and half hour is just too long time. If you like to see skillful dancing in silver screen it's better to see Bollywood movie. They know how to combine breath taking dancing to long movie. Director Carlos Saura knows how to shoot dancing from old experience. And time to time it's look really good. but when the movie is one and hour it should be at least most of time interesting. There are many kind of art not everything is bigger then life and this film is not too big.,negative
32504,"How this film gains a 6.7 rating is beyond belief. It deserves nothing better than a 2.0 and clearly should rank among IMDb's worst 100 films of all time. National Treasure is an affront to the national intelligence and just yet another assault made on American audiences by Hollywood. Critics told of plot holes you could drive a 16 wheeler through.<br /><br />I love the justifications for this movie being good... ""Nicholas Cage is cute."" Come on people, no wonder people around the world think Americans are stupid. This has to be the most stupid, insulting movie I have ever seen. If you wanted to see an actually decent film this season, consider Kinsey, The Woodsman, Million Dollar Baby or Sideways. National Treasure unfortunately got a lot more publicity than those terrific films. I bet most of you reading this haven't even heard of them, since some haven't been widely released yet.<br /><br />Nicholas Cage is a terrific actor - when he is in the right movies. Time after time I've seen Cage waste his terrific talent in awful mind-numbing films like Con Air, The Rock and Face-Off. When his talent is put to good use like in Charlie Kaufman's Adaptation he is an incredible actor.<br /><br />Bottom line - I'd rather feed my hand to a wood chipper than be subjected to this visual atrocity again.",negative
15135,"I had to endure teen-aged, high school angst and family conflict for almost all of the show. I really do not care about high-school girls fretting about their relationships. I've spent my time in Hell dealing with such issues and I care nothing about fictional teenies going through ""lite"" versions of the horrors I endured. I want science fiction. That's the only reason I'm here. There were a few seconds of science fiction late in the show. We FINALLY see a proto-Cylon. It was good but with one problem. Its red eye-dot would lock onto an object of interest. We all know that Cylon eyedots always scan back and forth, giving the machine a map of the world. The red eye-dot does not ever stop moving back and forth.<br /><br />I really hope the writers fix this abuse before the second episode.",negative
26971,"Henry (Don Ameche) turns up at the entrance to Hell and recounts his life story to His Excellency (Laird Cregar). The story focuses on his relationships with females throughout his life, and in particular, his relationship with Martha (Gene Tierney). At the end of the film, we cut back to Henry and His Excellency for a very predictable ending.<br /><br />Unfortunately, there is nothing more to say about the film because nothing happens. Its a sentimental story of one man's life and its very boring. I watched it with my girlfriend and my dad and we all thought it was rubbish, despite the Lubitsch touch. I yawned more than 15 times. Hugo (Charles Coburn) is good whenever he is on screen as the grandfather and there were a few funny moments of dialogue. The colour made it a good spectacle but it wasn't enough to save this plodder from going into the reject pile. In the same mould as ""Its A Wonderful World"" and ""You Can't Take It With You"", and so, not surprisingly, it was nominated for an Oscar. A story about ordinary people, none of whom are interesting and with no storyline of any interest. Boring, sentimental and the biggest damp squib of an ending that I can remember...",negative
47357,"This was one of Christie's later stories. Throughout her long career, she was interested in the shifting narrative and the notion of conflicting agents. Both are essentially the same thing and boil down to questions of who it is that controls or creates the situation.<br /><br />In detective fiction, the game is a matter of conflicting realities. The murderer intends to change reality to fool the detective, the writer intends to do the same to the reader. Both the reader and the detective are in similar battles to create what they see. That's why her stories often include a writer.<br /><br />In her works, she explores every combination of tricks she can think of that deal with this. Along the way, we often have bodies that are not who they seem, and times, and intended victims and such. But the real magic of the books is this notion of control. In 'Bertram's' it was literally a building.<br /><br />Here, it is a dead man. Well, sometimes that happens, but not like this. It is as if the writer were the famous Mr. Rafiel. This is particularly sweet to Marple readers who remember this same character from the 'Carribean Mystery,' which in a way was also framed by her nephew. In that story, Rafiel was the conveyor of the story to the authorities.<br /><br />The producers of this series have an almost wacky commitment to using a different creative team on each one. Sometimes it produces bland work. The 'Bertram's' episode was rather brilliantly staged. This one is the most lavish of the lot, and has an active camera. But unlike the 'Bertram's' work, it has nothing to do with the story.<br /><br />The camera moves and captures merely because it can. The 'Citizen Kane' quote at the beginning was a little too literal and blunt. This story is good, but the adapter took out some pretty critical stuff, and that irrelevant camera annoys.<br /><br />Ted's Evaluation -- 2 of 3: Has some interesting elements.",negative
214,"holy Sh*t this was god awful. i sat in the theater for for an hour and ten minutes and i thought i was going to gouge out my eyes much in the manor Oedipus Rex. dear god. this movie deserves no more credit than anything done by a middle school film buff. please save your money, this movie can offer you nothing. unless you enjoy sideshows and sleeping in movie theaters. you know, h3ll, bring your girlfriend and make things interesting. you will be the only ones there anyway. F@ck this slide show. <br /><br />Ye Be Warned.<br /><br />I recommend not watching this.<br /><br />hello.<br /><br />how are you?<br /><br />I'm pretty good.<br /><br />enjoying this day?<br /><br />I am.<br /><br />this comment was one-hundred times more fun than pretending to watch this daym movie. this is sad.",negative
47912,"Basically, Cruel Intentions 2 is Cruel Intentions 1, again, only poorly done. The story is exactly the same as the first one (even some of the lines), with only a few exceptions. The cast is more unknown, and definitely less talented. Instead of being seductive and drawing me into watching it, I ended up feeling dirty because it compares to watching a soft-core porn. I'm not sure whether to blame some of the idiotic lines on the actors or the writers...and I always feel bad saying that, because I know how hard it is to do both...but it was basically a two-hour waste of my life. It literally amazes me that some movies get made, and this is no exception...I can't believe they'd make a third one.",negative
43608,"When a movie like ""The Dukes of Hazzard"" brings in over $75 million it makes some incredibly sad statements about the condition of our own society. Either we are collectively too stupid to stay away from trash like this or maybe I'm just not realizing how many people this kind of no-effort trash will appeal to.<br /><br />Hollywood has had no incentive to make good movies since if it puts out trash then people will see it anyways since there is nothing else on screen. This is that. I walked out despite getting a free movie pass. The dialogue could not be dumber. The stunts could not be more over-the-top and outrageous. Perhaps this ""bigger that big"" image appeals to Texans but it didn't appeal to me nor anyone else in the theater. None of the ""big names"" were in this career-ending flick, except for Burt Reynolds, which says all you need to hear. Jessica Simpson -- don't make me laugh.<br /><br />I wouldn't even recommend this film for video, even if you were desperate. This was all about fooling the public to make enough money after opening day to equal or do better than it cost through marketing. They did despite the public being forewarned. Stupidity abound.",negative
32230,"See Dick work.<br /><br />See Jane work.<br /><br />Dick and Jane are married.<br /><br />They are successful.<br /><br />They have a son. <br /><br />They have a nice house.<br /><br />They have a Latino housekeeper.<br /><br />The housekeeper teaches Spanish to the son.<br /><br />The son speaks Spanish.<br /><br />Ha-ha.<br /><br />See Dick get promoted.<br /><br />The pompous CEO is a crook.<br /><br />See Dick take the fall for the pompous CEO.<br /><br />Jane quits her job.<br /><br />Oops.<br /><br />See Dick and Jane out of work.<br /><br />Dick & Jane turn to crime.<br /><br />As a plot device, they decide to rob the CEO.<br /><br />See the robbery get botched.<br /><br />See Dick & Jane fund the company's pension plan with the money from the robbery.<br /><br />Yay. See the end credits.<br /><br />Okay, so you've got the plot. Beyond that, Dick and Jane careens from one scene to the next. One barely connecting with the last one or the next one. The whole thing is terribly episodic in nature. <br /><br />Jim Carrey didn't bother to bring his ""A"" material, he just seems bored and slightly ashamed of the whole thing. But heck, when you're getting paid $20 million plus, why bother. Tea Leoni is frantic. I guess I would be frantic not to get blamed for this flop.<br /><br />There's just something sort of off about Dick & Jane. Carrey and Leoni aren't funny and have little chemistry. The script isn't funny. And it's not well-plotted.<br /><br />But it may be bigger than that. The reality of Dick and Jane is, perhaps, a little too real. Maybe it's just not funny for people to lose their jobs in an Enron-like situation, when real-life still lacks a happy ending.",negative
18321,"The only reason I even gave it a 1 out of 10 is because the option to give it zero out of 10 was not allowed. This was the biggest waste of time I've ever endured. For roughly 75 minutes, you are subjected to the WORST acting (and I don't mean that in a good way either, like as in KILLER NERD which had great horrible acting) and a plot that is not only ridiculous but also has absolutely NOTHING to do with a massacre. The reason I even rented this piece of crap was because it has massacre in the title. That said, there was only one killing in the entire movie and it was pretty lame at that. You spend more time watching the kids bickering and doing yard work than anything. Speaking of the kids, the little boy actor is probably the most irritating child actor since bob from house by the cemetery. Did I mention it was shot on video as well? If you want to throw away money and over an hour of your life, then by all means watch it. But if you savor your hard earned dollars and time, then stray as far away as possible.",negative
20920,"I know John Singleton's a smart guy 'coz he made Boyz N The Hood, so how did he write and direct this? It's like the pilot of a bad ""going away to college for the first time"" teen soap, a parade of boring stereotypes and cliches with some gratuitous violence thrown in to make it a commercial proposition, I guess. Who would've guessed the date-rape victim would dump sausage for seafood? The angry loner would be preyed upon by a group of Neo-Nazis (and would be roomed-up with a black AND a Jew - just for laughs!) Even Laurence Fishburne's creepy reactionary history Professor just irritated me and I love the guy, it's like everyone involved with this movie just lost the plot. Except Busta Rhymes, of course. Big ups.",negative
27159,"How can anybody say that this movie is a comedy?? If I had not gone with then my finacee I would have fallen asleep and asked for my money back. I love Gwen Paltrow, but it was like she was on the wrong set. I like most chick flicks, but I hated this one. This is the only time I saw so much clevage and was not turned on. Those outfits were way overdone. No one talks that way anymore and I don't think they even did then. The dancing part was horrible.My ex said to me later...""Didn't ya like that part? Didn't ya think it was sensous?"" I said yes only to spare her feelings. Now I know why we never married.This is one of the worst movies I have ever seen.",negative
