,review,sentiment
40343,"I have always been a fan of the show so I'll admit that I am biased. When the show's run ended, I felt like too many questions remained unanswered. This movie to me felt like closure. To see all the people I'd followed over the past few years together at last was most rewarding. I have heard that this is probably the only Homicide movie that we can expect. If that is so, this is the appropriate way to go out. This movie is sometimes poignant, sometimes upsetting, but always satisfying. If you are or ever have been a fan of the show, watch this movie.",positive
25202,"My wife and I struggle to find movies like this that are clean and yet enjoyable for adults. If you can't find a cinema that is playing it, call your cinema and request it. Bravo, Five Sisters Productions for courage, tenacity and creative endeavor!",positive
23701,"""Der Todesking""-Jorg Buttgereit's second full-length feature film(the first one was notorious ""Nekromantik"")has no central character or characters,but instead thematic continuity in the act of suicide.Divided into days of the week,it comprises of a series of set-pieces,each of which featuring the self-destruction of a complete stranger.Yes,the production values are low and it's disturbing,but in many ways ""Der Todesking"" is extremely effective.It makes you think which is sometimes more important than pure entertainment.Unlike the other Buttgereit's works it isn't very gory,but there are some unpleasant images like castration scene in the Tuesday episode,a decomposing corpse and various acts of suicide.The last(Sunday)episode is so depressing and full of pain!-just amazing if you want my opinion.10 out of 10-check out this post-modernism shocker!Disturbing art in the purest form!",positive
40050,"Fast-paced, funny, sexy, and spectacular. Cagney is always terrific. Blondel charms you with her wit and energy. It's obvious that this is a pre-censorship film by the innuendo in the script, the costumes,and the way they touch each other. And bikinis before there were bikinis! This is no holds barred fun for everyone. I don't understand the John Garfield issue though. Does it matter whether or not he's in this film? If he is, he screen is so short that he's basically a prop. You need to watch it frame by frame to even find him if he's there. I'm a big Cagney fan, but had never seen this one before. I found it on Turner Classics. I found it by wonderful accident. Sit back and enjoy the ride!",positive
222,"Howard (Kevin Kline) teaches English at the high school in a small Indiana city. He is finally getting married to Emily (Joan Cusack), much to his parents delight. The town is abuzz, too, because one of its own, Cameron (Matt Dillon) has been nominated for an acting Oscar. Everyone, including Howard and Emily, is watching the Academy Awards on television as Cameron is declared the winner! In his acceptance speech, Cameron announces that he was able to fulfill his role as a gay military man, in part, because of lessons he learned from a gay teacher he had in high school. You guessed it, its Howard! But, Howard has never ""come out""; in fact, he believes he is straight! With the whole town, and members of the media, waiting and observing the happenings, will Howard and Emily go ahead and get married? Or, is Howard truly gay and realize he can not go through with the ceremony? This is a wonderful, funny, and humane film about a gay man and his situation. As the man-who-did-not-realize-he-was-gay, Kline is excellent and touching. The rest of the cast is equally fine, with Cusack a stitch as the mixed-up fiancé and Dillon, Bob Newhart, Debbie Reynolds, Tom Selleck, and others on hand to delight the audience as well. The costumes are very nice and the setting in the lovely Indiana heartland is beautiful. Then, too, the script, the direction, and the production are very, very nice. But, the insightful, humorous, and the thoughtful look at the gay population is the film's best asset, no doubt. For those who would be offended by a gay-themed film, yes, just skip over this one. But, for everyone who wants to laugh heartily, and gain a better understanding of the gay situation at the same time, this is definitely the best film out there.",positive
39221,"I have seen this movie. This movie is the best according today's need. Dowry in marriages is the major problem nowadays. In stating this problem this movie is the best. In this movie, the Indian values are stated very well. Today's youth must understand this problem. There is less population of girls. And due to this problem of dowry , the girls committed suicide. If this problem continues, then the day when there is no girl child, is not far away.So, keep in mind this statement ,today's youth must understand that we can not take dowry in marriages.We have to learn from this movie that the dowry should not be taken.And if we understand this problem then we can see the new trend in the society. This is the major change in the society.",positive
30483,"This two-parter was excellent - the best since the series returned. Sure bits of the story were pinched from previous films, but what TV shows don't do that these days. What we got here was a cracking good sci-fi story. A great big (really scary) monster imprisoned at the base of a deep pit, some superb aliens in The Ood - the best ""new"" aliens the revived series has come up with, a set of basically sympathetic and believable human characters (complete with a couple of unnamed ""expendable"" security people in true Star Trek fashion), some large-scale philosophical themes (love, loyalty, faith, etc.), and some top-drawer special effects.<br /><br />I loved every minute of this.",positive
40348,"My husband received DVD of OBWAT for Christmas and it was the best gift we received! We watch it every time we need to laugh and so far we have viewed it 12 times!The scenery in this movie is beautiful and the music is outstanding!We also purchased the soundtrack and we play it in our vehicles and at home when ever we need a pick me up and that too is daily!If anyone needs a suggestion for a good gift for movie lovers this movie is it!The characters are hilarious , charming , and their facial expressions are too funny to describe!I have always been a fan of George Clooney but now I am also a fan of Tim Blake Nelson(Delmar ) and John Turturro (Pete)and am now looking for them in other movies! You gotta see this movie!!!",positive
8204,"This is a top car flick (Its a work of art/ YER a work of art!) all classic cars no plastic fantastic, I have watched it over & over again I have worn out two video tapes, And will wear out lots more. Lots more car lovers young or old will love this film & watch it more than 1 time! so hire it or buy it (just see it) I wish they would make more (car) movies like this V8 power not gassed up little whipper snippers!!!!<br /><br />(shes a 351 right?)(motor magic) (the heap the chariot)<br /><br />(you've got to learn to feel the power)",positive
6187,This movies had to be the funniest movie i have ever seen in my entire life. I laughed so hard i almost puked. After the movie was done i laughed for about an hour just thinking about the very last seen in the movie. Its is definitely 100 times better than the first Jackass movie. I loved seeing all of them back together again. If you are squeamish or don't like raunchy childish humour you will not like this movie. If you can go in with an open mind and not take it so seriously then you will laugh your ass off. Its amazing no one was killed in this movie. Every seen in this movie is so original and so different from the next you will not know what to expect. <br /><br />Mike Webber,positive
